TF_pair,n1,n2,|r|,global_pct,size_pct,expr_pct,d_size,d_expr,n_size,n_expr
STAT1-IRF1,15,6,0.9473263875088382,98.99193548387096,98.8,98.6,-0.1919354838709637,-0.39193548387096655,30,30
RUNX1-ETS1,7,4,0.9667897733348908,99.79838709677419,100.0,100.0,0.20161290322580783,0.20161290322580783,16,30
NR3C1-RELA,6,13,0.9260371128977007,98.18548387096774,98.2,98.4,0.014516129032259073,0.21451612903226192,30,30
FOS-JUN,5,7,0.8820447556331963,97.37903225806451,95.19999999999999,97.2,-2.179032258064524,-0.17903225806450962,20,30
NFE2L2-HIF1A,9,9,0.8809595337318719,96.9758064516129,99.2,100.0,2.224193548387106,3.024193548387103,14,4
RELA-NFKB1,13,17,0.6980206759188273,84.07258064516128,83.6,79.4,-0.47258064516128684,-4.6725806451612755,30,4
IRF4-BATF,4,6,0.6769052150094302,80.64516129032258,84.2,80.80000000000001,3.5548387096774263,0.15483870967743485,18,30
STAT1-IRF4,15,4,0.6410481212881941,78.0241935483871,80.0,77.4,1.9758064516128968,-0.6241935483870975,30,30
STAT4-NFKB1,9,17,0.6095885150114125,74.19354838709677,74.0,76.2,-0.1935483870967687,2.006451612903234,30,30
TCF7-LEF1,5,3,0.6062453120333113,73.18548387096774,83.2,75.2,10.014516129032259,2.014516129032259,16,30
MYC-E2F1,8,8,0.6031222279353868,72.98387096774194,75.0,70.19999999999999,2.016129032258064,-2.7838709677419473,20,30
SPI1-CEBPA,9,4,0.6020421959518866,72.58064516129032,85.0,72.0,12.41935483870968,-0.5806451612903203,7,30
BATF-BCL6,6,4,0.39823199510619267,44.95967741935484,51.6,48.4,6.640322580645162,3.4403225806451587,18,30
FOXP3-GATA3,6,3,0.29702236764768264,32.25806451612903,30.0,31.0,-2.258064516129032,-1.258064516129032,16,30
SPI1-IRF8,9,5,0.2844513541440658,31.25,21.6,30.8,-9.649999999999999,-0.4499999999999993,11,30
BCL6-PRDM1,4,5,0.1978181043066788,20.766129032258064,22.2,20.0,1.4338709677419352,-0.7661290322580641,18,30
